vicevystupove samozrejme take pujdou, 2x2 za docela malych naroku:
 Searching("Cgp", createGenome(CGP, genomeFunction, 2, 2, 3, 4), 12, 12, 2).simpleEvolve()

fitness = BENT 
convergence: 0
8 best results: fitness min/avg/max/mdev : 8/8/8/0
Fit	Bent	SAC	LpMax	DpMax	Bij	BF	Chromozome
8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,1)([7]3,5,3)([8]4,0,0)([9]5,2,8)([10]6,6,5)([11]1,6,1)([12]9,8,7)([13]9,9,5)(9,5)

8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,1)([7]3,5,3)([8]0,0,0)([9]5,2,8)([10]6,6,5)([11]1,6,7)([12]9,8,7)([13]9,9,5)(9,5)

8	8	-1	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,1)([7]3,5,3)([8]0,0,0)([9]5,4,8)([10]6,6,5)([11]1,6,1)([12]9,8,7)([13]9,9,5)(9,5)

8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,1)([7]3,5,3)([8]0,0,0)([9]5,2,8)([10]6,6,5)([11]1,6,1)([12]0,8,7)([13]9,9,5)(9,5)

8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,1)([7]3,5,3)([8]0,0,0)([9]5,2,8)([10]6,6,5)([11]0,6,1)([12]9,8,7)([13]9,9,5)(9,5)

8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,3,1)([7]3,5,3)([8]0,0,0)([9]5,2,8)([10]6,6,5)([11]1,6,1)([12]9,8,7)([13]9,9,5)(9,5)

8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,6)([7]3,5,0)([8]0,0,0)([9]5,2,8)([10]6,6,5)([11]1,6,1)([12]9,8,7)([13]9,9,5)(9,5)

8	8	0	1	0.5	0	1	{2,2,3,4,2,1,3}([2]1,0,7)([3]0,0,6)([4]1,0,2)([5]1,0,6)([6]0,0,1)([7]3,5,3)([8]0,0,0)([9]5,2,8)([10]6,6,5)([11]1,6,1)([12]9,8,7)([13]9,9,5)(9,5)


Exited with status: 0
