maximalizaci branching factoru se asi taky neco ziska...
u sboxu 4x4 velikost populace 4800, pocet generaci 4800 - naslo to par MOSACU (jestli se tak da rikat levelu 2, i u 4x4)...

convergence: 1
8 best results: fitness min/avg/max/mdev : 3/3/3/0
Fit	Bent	SAC	LpMax	DpMax	Bij	BF	Chromozome
3	0	2	1	1	0	3	{XOR r1, r3 ; XOR r2, r1 ; XOR r3, r2} , {NOT r2 ; AND r3, r4 ; AND r4, r1} , {AND r3, r2 ; NOT r4 ; XOR r0, r3} , {XOR r1, r4 ; NOT r4 ; OR r3, r3} , {XOR r3, r0 ; OR r0, r0 ; XOR r2, r3} , {AND r0, r0 ; XOR r4, r3 ; OR r1, r1}
3	0	-1	1	1	0	3	{XOR r0, r1 ; MOV r4, r4 ; XOR r3, r2} , {NOT r0 ; AND r3, r4 ; OR r4, r3} , {NOT r0 ; NOT r3 ; OR r4, r3} , {XOR r0, r2 ; AND r1, r3 ; NOT r2} , {XOR r1, r3 ; AND r3, r0 ; XOR r2, r3} , {NOT r1 ; NOP ; AND r3, r1}
3	0	-1	1	1	0	3	{XOR r0, r2 ; OR r3, r3 ; NOT r2} , {XOR r2, r3 ; AND r3, r4 ; OR r0, r0} , {XOR r1, r4 ; AND r3, r3 ; XOR r0, r3} , {OR r1, r3 ; OR r3, r4 ; AND r0, r0} , {XOR r3, r1 ; XOR r4, r2 ; AND r1, r0} , {XOR r4, r3 ; NOT r1 ; XOR r0, r3}
3	0	-1	1	1	0	3	{XOR r1, r0 ; XOR r0, r3 ; XOR r3, r0} , {XOR r3, r2 ; XOR r1, r2 ; OR r2, r2} , {NOT r0 ; OR r3, r1 ; AND r2, r2} , {XOR r1, r4 ; AND r4, r1 ; AND r2, r2} , {NOT r2 ; OR r4, r0 ; AND r3, r1} , {XOR r2, r0 ; OR r3, r3 ; NOT r4}
3	0	2	1	1	0	3	{XOR r0, r1 ; XOR r1, r1 ; XOR r3, r1} , {XOR r3, r0 ; AND r1, r0 ; NOT r4} , {XOR r2, r1 ; XOR r3, r1 ; OR r0, r0} , {XOR r3, r0 ; XOR r2, r3 ; AND r4, r2} , {OR r2, r2 ; OR r1, r3 ; OR r3, r4} , {AND r1, r1 ; NOP ; NOP}
3	0	-1	1	1	0	3	{XOR r1, r0 ; AND r0, r3 ; XOR r3, r0} , {XOR r3, r2 ; XOR r1, r2 ; OR r2, r2} , {NOT r0 ; OR r3, r1 ; AND r2, r2} , {XOR r3, r4 ; AND r4, r1 ; AND r2, r2} , {NOT r2 ; OR r4, r0 ; AND r3, r1} , {XOR r2, r0 ; OR r3, r3 ; NOT r4}
3	0	-1	1	1	0	3	{XOR r0, r1 ; NOT r1 ; XOR r2, r1} , {AND r4, r3 ; XOR r1, r3 ; OR r3, r4} , {AND r4, r4 ; NOT r3 ; OR r0, r4} , {XOR r1, r4 ; XOR r3, r4 ; OR r4, r0} , {XOR r4, r1 ; NOT r0 ; XOR r1, r2} , {NOP ; NOP ; NOT r4}
3	0	-1	1	1	0	3	{XOR r2, r1 ; OR r1, r1 ; AND r4, r0} , {OR r4, r0 ; NOT r3 ; XOR r0, r3} , {OR r2, r2 ; XOR r0, r1 ; XOR r1, r3} , {NOT r1 ; NOT r4 ; OR r3, r2} , {OR r2, r2 ; AND r0, r2 ; XOR r4, r3} , {NOT r0 ; AND r3, r3 ; XOR r1, r2}

Exited with status: 0
