VEGA: LP_MAX, DP_MAX, BF
ngen: 3000
popsize: 3000

jak vidno BF zvitezi

convergence: 1
8 best results: fitness min/avg/max/mdev : 0.75/0.75/0.75/0
Fit	Bent	SAC	LpMax	DpMax	Bij	BF	Chromozome
0.75	0	-1	1	1	0	3	{AND r1, r1 ; NOT r0 ; MOV r4, r0} , {XOR r0, r3 ; XOR r2, r1 ; XOR r4, r3} , {XOR r3, r3 ; OR r4, r4 ; OR r1, r2} , {XOR r1, r4 ; XOR r4, r3 ; NOT r3} , {AND r1, r1 ; XOR r0, r2 ; XOR r4, r2} , {NOP ; AND r3, r4 ; XOR r2, r0}
0.75	0	-1	1	1	0	3	{MOV r4, r1 ; NOT r1 ; MOV r2, r0} , {XOR r4, r2 ; XOR r3, r1 ; XOR r2, r0} , {AND r3, r4 ; XOR r1, r2 ; XOR r0, r3} , {NOT r3 ; XOR r1, r3 ; XOR r2, r4} , {AND r0, r0 ; OR r2, r4 ; XOR r3, r4} , {OR r3, r4 ; XOR r2, r0 ; NOP}
0.75	0	2	1	1	0	3	{XOR r3, r2 ; OR r4, r4 ; OR r1, r1} , {XOR r2, r1 ; NOT r4 ; NOT r1} , {AND r1, r3 ; XOR r0, r3 ; OR r3, r1} , {NOT r4 ; NOT r3 ; OR r2, r2} , {XOR r4, r1 ; OR r3, r0 ; XOR r1, r0} , {NOT r3 ; NOT r4 ; NOP}
0.75	0	-1	1	1	0	3	{XOR r1, r0 ; XOR r0, r3 ; OR r4, r1} , {AND r4, r4 ; NOT r0 ; XOR r2, r1} , {NOT r0 ; NOT r2 ; XOR r1, r2} , {OR r4, r4 ; NOT r0 ; XOR r3, r2} , {XOR r4, r0 ; XOR r0, r3 ; AND r3, r0} , {NOP ; AND r3, r2 ; XOR r2, r4}
0.75	0	-1	1	1	1	3	{MOV r4, r0 ; XOR r0, r3 ; OR r1, r1} , {XOR r0, r2 ; XOR r2, r1 ; AND r1, r1} , {NOT r3 ; XOR r2, r0 ; OR r4, r4} , {OR r1, r1 ; XOR r3, r3 ; AND r0, r0} , {AND r2, r2 ; NOT r3 ; OR r1, r3} , {NOP ; OR r3, r4 ; XOR r4, r0}
0.75	0	-1	1	1	0	3	{MOV r0, r1 ; XOR r3, r2 ; XOR r1, r0} , {XOR r1, r3 ; AND r2, r2 ; OR r4, r4} , {OR r4, r0 ; XOR r1, r2 ; NOT r2} , {OR r2, r2 ; NOT r4 ; OR r1, r1} , {NOT r2 ; NOT r4 ; OR r3, r3} , {NOT r0 ; XOR r3, r3 ; XOR r2, r1}
0.75	0	-1	1	1	1	3	{OR r3, r0 ; MOV r4, r3 ; AND r2, r2} , {NOT r3 ; NOT r0 ; XOR r1, r2} , {XOR r1, r3 ; XOR r3, r4 ; XOR r4, r3} , {XOR r2, r1 ; XOR r3, r1 ; XOR r4, r2} , {NOT r4 ; AND r3, r1 ; XOR r0, r3} , {OR r3, r1 ; XOR r0, r4 ; XOR r4, r2}
0.75	0	-1	1	1	0	3	{OR r2, r2 ; OR r4, r1 ; XOR r3, r2} , {AND r1, r3 ; AND r4, r1 ; XOR r2, r0} , {NOT r0 ; XOR r4, r0 ; OR r1, r0} , {XOR r4, r3 ; OR r1, r4 ; XOR r0, r3} , {AND r2, r0 ; NOT r1 ; XOR r0, r0} , {OR r0, r3 ; NOP ; XOR r3, r3}

Exited with status: 0
