VEGA - Sbox 4x4, 1000gen velikost populace 1000 
LP_MAX, DP_MAX

convergence: 0.777778
8 best results: fitness min/avg/max/mdev : 0.428571/0.428571/0.428571/0
Fit	Bent	SAC	LpMax	DpMax	Bij	BF	Chromozome
0.43	8	-1	0.25	0.5	0	1	{MOV r4, r0 ; OR r2, r4 ; OR r1, r3} , {XOR r1, r2 ; NOT r4 ; XOR r2, r0} , {AND r0, r1 ; OR r4, r4 ; NOT r3} , {OR r3, r3 ; AND r2, r4 ; XOR r1, r0} , {XOR r2, r4 ; XOR r4, r0 ; XOR r1, r0} , {OR r4, r1 ; AND r2, r2 ; XOR r3, r4}
0.43	16	-1	0.25	0.5	0	1	{MOV r2, r2 ; OR r4, r0 ; OR r0, r4} , {NOT r4 ; AND r0, r1 ; AND r3, r4} , {XOR r3, r0 ; AND r2, r4 ; OR r0, r0} , {XOR r4, r2 ; AND r2, r2 ; XOR r0, r3} , {AND r3, r4 ; OR r0, r1 ; OR r2, r0} , {OR r0, r4 ; OR r3, r3 ; AND r1, r2}
0.43	0	-1	0.25	0.5	0	1	{OR r4, r1 ; XOR r1, r3 ; XOR r3, r2} , {OR r4, r1 ; XOR r0, r3 ; AND r3, r1} , {NOT r0 ; OR r1, r3 ; NOT r3} , {OR r4, r1 ; XOR r2, r0 ; OR r0, r0} , {NOT r3 ; OR r2, r0 ; OR r4, r4} , {XOR r1, r4 ; OR r0, r1 ; AND r4, r3}
0.43	0	-1	0.25	0.25	0	1	{OR r2, r2 ; MOV r4, r1 ; OR r0, r4} , {NOT r2 ; NOT r4 ; XOR r3, r2} , {OR r1, r2 ; OR r4, r3 ; OR r0, r0} , {XOR r3, r2 ; OR r1, r2 ; AND r2, r0} , {OR r4, r4 ; AND r2, r0 ; XOR r1, r0} , {AND r0, r3 ; XOR r4, r0 ; NOT r1}
0.43	8	-1	0.25	0.5	0	1	{NOT r0 ; OR r1, r2 ; MOV r3, r3} , {XOR r3, r2 ; AND r0, r2 ; XOR r1, r0} , {XOR r4, r3 ; XOR r3, r2 ; NOT r2} , {AND r4, r3 ; OR r3, r3 ; XOR r2, r4} , {NOT r4 ; XOR r3, r0 ; NOT r2} , {AND r3, r0 ; XOR r2, r4 ; OR r4, r1}
0.43	0	-1	0.77	0.25	0	1	{OR r0, r2 ; XOR r4, r1 ; XOR r1, r0} , {AND r0, r0 ; XOR r3, r1 ; XOR r2, r3} , {XOR r3, r2 ; AND r1, r3 ; OR r4, r4} , {NOT r1 ; OR r4, r2 ; NOT r3} , {AND r3, r1 ; NOT r2 ; XOR r1, r4} , {AND r3, r4 ; NOT r0 ; XOR r1, r3}
0.43	32	-1	0.25	0.5	0	1	{MOV r0, r0 ; MOV r4, r2 ; AND r2, r1} , {XOR r2, r4 ; AND r1, r3 ; OR r0, r3} , {OR r4, r3 ; XOR r0, r2 ; NOT r3} , {XOR r1, r4 ; AND r4, r4 ; OR r2, r3} , {XOR r1, r0 ; AND r0, r2 ; AND r3, r2} , {OR r3, r2 ; AND r1, r2 ; NOT r2}
0.43	32	-1	0.25	0.5	0	1	{XOR r3, r2 ; OR r0, r2 ; OR r4, r0} , {AND r1, r3 ; OR r3, r4 ; OR r2, r3} , {OR r2, r1 ; XOR r3, r2 ; OR r0, r0} , {XOR r3, r4 ; OR r4, r0 ; XOR r0, r2} , {XOR r4, r1 ; NOT r1 ; XOR r2, r3} , {OR r2, r1 ; XOR r1, r4 ; XOR r0, r1}

Exited with status: 0
