z ladeni SPEA algoritmu (jeste neni hotove shlukovani)

200 generaci, velikost populace: 200 (s tim externi pareto jeste kramy prerustaji...)
kriteria: DP_MAX, BENT_AND_MOSAC
5. reseni vypada ok

convergence: 1
8 best results: fitness min/avg/max/mdev : 0.99005/0.99005/0.99005/0
Fit	Bent	SAC	LpMax	DpMax	Bij	Bidir	BF	Chromozome
0.99	0	-1	1	1	0	0	1	{MOV r3, r0 ; AND r2, r3 ; NOT r0} , {XOR r3, r0 ; AND r1, r4 ; NOT r4} , {AND r1, r1 ; OR r4, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r4 ; NOT r1} , {NOT r0 ; OR r4, r2 ; XOR r3, r1} , {XOR r1, r2 ; NOP ; NOT r0}
0.99	0	-1	1	1	0	0	1	{OR r3, r0 ; AND r2, r3 ; NOT r0} , {XOR r3, r0 ; AND r1, r4 ; NOT r4} , {AND r3, r1 ; OR r4, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r4 ; NOT r1} , {NOT r0 ; OR r4, r2 ; XOR r3, r1} , {XOR r1, r2 ; NOP ; NOT r0}
0.99	55	-1	1	0.5	0	0	1	{OR r3, r0 ; AND r2, r1 ; NOT r0} , {XOR r2, r0 ; AND r1, r2 ; NOT r4} , {AND r3, r4 ; OR r4, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r2 ; NOT r1} , {NOT r0 ; OR r1, r0 ; XOR r3, r4} , {XOR r1, r2 ; NOP ; NOT r0}
0.99	0	-1	1	1	0	0	1	{OR r3, r0 ; AND r1, r1 ; NOT r0} , {XOR r2, r0 ; XOR r1, r2 ; NOT r0} , {AND r3, r4 ; OR r4, r0 ; XOR r2, r2} , {XOR r3, r3 ; AND r4, r2 ; NOT r1} , {NOT r0 ; OR r1, r0 ; NOT r3} , {XOR r1, r2 ; NOT r2 ; NOT r0}
0.99	64	0	1	0.5	0	0	1	{OR r3, r0 ; AND r2, r1 ; NOT r0} , {XOR r2, r0 ; XOR r1, r2 ; NOT r0} , {AND r3, r4 ; OR r4, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r2 ; NOT r1} , {NOT r0 ; OR r1, r0 ; XOR r3, r4} , {XOR r1, r2 ; NOP ; NOT r0}
0.99	7	-1	1	1	0	0	1	{OR r1, r0 ; AND r2, r3 ; NOT r0} , {XOR r3, r0 ; AND r1, r4 ; OR r4, r4} , {AND r3, r1 ; OR r0, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r4 ; NOT r1} , {NOT r0 ; OR r1, r0 ; XOR r3, r4} , {XOR r1, r2 ; NOP ; NOT r0}
0.99	0	-1	1	1	0	0	1	{OR r3, r0 ; AND r2, r3 ; NOT r0} , {XOR r3, r0 ; AND r1, r4 ; NOT r4} , {AND r3, r1 ; OR r4, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r4 ; NOT r1} , {NOT r0 ; OR r4, r2 ; AND r3, r1} , {XOR r1, r2 ; OR r2, r1 ; NOT r4}
0.99	0	-1	1	1	0	0	1	{OR r3, r0 ; AND r2, r3 ; NOT r0} , {XOR r2, r0 ; AND r1, r2 ; NOT r4} , {AND r3, r1 ; OR r4, r0 ; XOR r2, r3} , {XOR r3, r3 ; AND r4, r4 ; NOT r1} , {NOT r0 ; OR r4, r0 ; XOR r3, r1} , {XOR r1, r2 ; NOP ; NOT r0}

Exited with status: 0
